2024-09-21 18:38:38.866 [info] (Client) Pylance async client (2024.9.2) started with python extension (2024.14.1)
2024-09-21 18:38:39.422 [info] [Info  - 6:38:39 PM] (5442) Server root directory: file:///home/ec2-user/.vscode-server/extensions/ms-python.vscode-pylance-2024.9.2/dist
2024-09-21 18:38:39.423 [info] [Info  - 6:38:39 PM] (5442) Pylance language server 2024.9.2 (pyright version 1.1.378, commit ce64adc1) starting
2024-09-21 18:38:39.423 [info] [Info  - 6:38:39 PM] (5442) Starting service instance "ec2-user"
2024-09-21 18:38:39.509 [info] [Info  - 6:38:39 PM] (5442) Setting environmentName for service "ec2-user": "C:\Users\ECM9685G\AppData\Local\Programs\Python\Python39\python.exe"
2024-09-21 18:38:39.509 [info] [Info  - 6:38:39 PM] (5442) No include entries specified; assuming /home/ec2-user
2024-09-21 18:38:39.510 [info] [Info  - 6:38:39 PM] (5442) Auto-excluding **/node_modules
2024-09-21 18:38:39.510 [info] [Info  - 6:38:39 PM] (5442) Auto-excluding **/__pycache__
2024-09-21 18:38:39.510 [info] [Info  - 6:38:39 PM] (5442) Auto-excluding **/.*
2024-09-21 18:38:39.701 [info] [Info  - 6:38:39 PM] (5442) Found 5 source files
2024-09-21 18:38:40.409 [info] [Info  - 6:38:40 PM] (5442) Background analysis(1) root directory: file:///home/ec2-user/.vscode-server/extensions/ms-python.vscode-pylance-2024.9.2/dist
2024-09-21 18:38:40.413 [info] [Info  - 6:38:40 PM] (5442) Background analysis(1) started
2024-09-21 18:38:40.995 [info] [Info  - 6:38:40 PM] (5442) Indexer background runner(2) root directory: file:///home/ec2-user/.vscode-server/extensions/ms-python.vscode-pylance-2024.9.2/dist (index)
2024-09-21 18:38:40.997 [info] [Info  - 6:38:40 PM] (5442) Indexing(2) started
2024-09-21 18:38:42.571 [info] [Info  - 6:38:42 PM] (5442) scanned(2) 87 files over 1 exec env
2024-09-21 18:38:45.829 [info] [Info  - 6:38:45 PM] (5442) [IDX(2)] Long operation: index execution environment file:///home/ec2-user (2892ms)
2024-09-21 18:38:45.841 [info] [Info  - 6:38:45 PM] (5442) [IDX(2)] Long operation: index packages file:///home/ec2-user (2946ms)
2024-09-21 18:38:45.841 [info] [Info  - 6:38:45 PM] (5442) indexed(2) 61 files over 1 exec env
2024-09-21 18:38:45.906 [info] [Info  - 6:38:45 PM] (5442) Indexing finished(2).
2024-09-21 18:40:03.322 [info] [Info  - 6:40:03 PM] (5442) [BG(1)] Long operation: checking: file:///home/ec2-user/routes/route.py (2545ms)
2024-09-21 18:40:03.323 [info] [Info  - 6:40:03 PM] (5442) [BG(1)] Long operation: analyzing: file:///home/ec2-user/routes/route.py (2545ms)
2024-09-21 19:04:53.730 [info] [Info  - 7:04:53 PM] (5442) [BG(1)] Long operation: SemanticTokens delta previousResultId:1726945481442 at file:///home/ec2-user/routes/route.py (10111ms)
